ID,V1,V2
236,51,0.218944296
237,61,0.978816885
238,71,0.548610973
239,81,0.611782336
240,91,0.305188644
241,1,0.037180396
242,11,0.602545545
243,21,0.379119901
244,31,0.933026684
245,41,0.643015774
246,51,0.582929793
247,61,0.850409976
248,71,0.944052218
249,81,0.280860081
250,91,0.70358166
251,1,0.996654447
252,11,0.66788646
253,21,0.870983127
254,31,0.577693935
255,41,0.258927949
256,51,0.871807102
257,61,0.741558083
258,71,0.356174639
259,81,0.758273168
260,91,0.600698801
261,1,0.755048774
262,11,0.361368782
263,21,0.934962944
264,31,0.630035582
265,41,0.678330608
266,51,0.944591294
267,61,0.132033811
268,71,0.738282444
269,81,0.196271177
270,91,0.550342613
271,1,0.141071252
272,11,0.405936719
273,21,0.224755099
274,31,0.144500467
275,41,0
276,51,0.054252894
277,61,0.410585558
278,71,0.163817948
279,81,0.309582051
280,91,0.488011534
281,1,0.155074957
282,11,0.560570982
283,21,0.213993966
284,31,0.243481883
285,41,0.612336777
286,51,0.681219713
287,61,0.937306318
288,71,0.362814734
289,81,0.022418492
290,91,0.545391488
291,1,0.823737718
292,11,0.073634827
293,21,0.055949483
294,31,0.937364803
295,41,0.267071926
296,51,0.128807731
297,61,0.492935852
298,71,0.203343771
299,81,0.375353574
300,91,0.570815752
301,1,0.618564734
302,11,0.348377304
303,21,0.656738184
304,31,0.322805685
305,41,0.810496614
306,51,0.401112709
307,61,0.291103564
308,71,0.629948115
309,81,0.857557062
310,91,0.826557028
311,1,0.307995316
312,11,0.581341192
313,21,0.034898329
314,31,0.256549243
315,41,0.465302039
316,51,0.139281987
317,61,0.430565514
318,71,0.131378612
319,81,0.493980846
320,91,0.315826802
321,1,0.557333575
322,11,0.159719801
323,21,0.279106569
324,31,0.259299229
325,41,0.374986917
326,51,0.280542031
327,61,0.075444204
328,71,0.789550266
329,81,0.831894789
330,91,0.105535747
331,1,0.147207395
332,11,0.850795907
333,21,0.481784676
334,31,0.800787142
335,41,0.747751286
336,51,0.914350028
337,61,0.748286693
338,71,0.685777345
339,81,0.792893829
340,91,0.099322798
341,1,0.165104128
342,11,0.002510142
343,21,0.724366533
344,31,0.547377689
345,41,0.757455444
346,51,0.271436888
347,61,0.797812097
348,71,0.608559352
349,81,0.05976236
350,91,0.47019964
351,1,0.466460942
352,11,0.807673831
353,21,0.192899142
354,31,0.023509726
355,41,0.937938574
356,51,0.95399421
357,61,0.991939754
358,71,0.346779991
359,81,0.849737831
360,91,0.142460379
361,1,0.751388456
362,11,0.219231511
363,21,0.366954134
364,31,0.474301718
365,41,0.267877467
366,51,0.334227951
367,61,0.674913163
368,71,0.387686042
369,81,0.299883184
370,91,0.171029799
371,1,0.085819888
372,11,0.996110534
373,21,0.699467484
374,31,0.575329159
375,41,0.657265611
376,51,0.806692127
377,61,0.660976002
378,71,0.486558987
379,81,0.60484995
380,91,0.164956054
381,1,0.654946696
382,11,0.505872325
383,21,0.253774938
384,31,0.298111922
385,41,0.626211551
386,51,0.107870808
387,61,0.753224687
388,71,0.992788804
389,81,0.056674322
390,91,0.78312074
391,1,0.499421638
392,11,0.216091775
393,21,0.989895751
394,31,0.177209875
395,41,0.108904128
396,51,0.899107791
397,61,0.086279437
398,71,0.075494191
399,81,0.322945092
400,91,0.900985176
401,1,0.893399692
402,11,0.677224185
403,21,0.06971827
404,31,0.924752247
405,41,0.964589853
406,51,0.634039549
407,61,0.390640166
408,71,0.915880554
409,81,0.110355091
410,91,0.415860028
411,1,0.541205035
412,11,0.040971696
413,21,0.565050529
414,31,0.383480588
415,41,0.907269463
416,51,0.260186641
417,61,0.794067497
418,71,0.481745399
419,81,0.021191128
420,91,0.490797238
421,1,0.861229184
422,11,0.855003454
423,21,0.415301864
424,31,0.359103151
425,41,0.751658082
426,51,0.501657058
427,61,0.578656595
428,71,0.668400212
429,81,0.932674974
430,91,0.395192662
431,1,0.95043605
432,11,0.730099513
433,21,0.516716944
434,31,0.90166826
435,41,0.934753614
436,51,0.824919366
437,61,0.108163274
438,71,0.196231557
439,81,0.047655813
440,91,0.366451357
441,1,0.234796808
442,11,0.038420934
443,21,0.979262495
444,31,0.973785223
445,41,0.033844715
446,51,0.707134773
447,61,0.047820262
448,71,0.190425914
449,81,0.850944522
450,91,0.837385728
451,1,0.068798092
452,11,0.415040391
453,21,0.796226507
454,31,0.890514816
455,41,0.799479609
456,51,0.166633741
457,61,0.243878693
458,71,0.785148181
459,81,0.002773079
460,91,0.568789351
461,1,0.321840456
462,11,0.203750077
463,21,0.425707698
464,31,0.394035639
465,41,0.168232359
466,51,0.754003279
467,61,0.120293482
468,71,0.550628642
469,81,0.808377686
470,91,0.857392394
471,1,0.802296498
472,11,0.744651578
473,21,0.497899189
474,31,0.792791063
475,41,0.436871224
476,51,0.619411328
477,61,0.425298372
478,71,0.700220408
479,81,0.321831331
480,91,0.671103686
481,1,0.403853286
482,11,0.568878815
483,21,0.985378576
484,31,0.085566141
485,41,0.683918109
486,51,0.037553149
487,61,0.063629876
488,71,0.271767082
489,81,0.861977084
490,91,0.8449867
491,1,0.372242943
492,11,0.085186238
493,21,0.891243417
494,31,0.265945604
495,41,0.854869579
496,51,0.591758193
497,61,0.146341875
498,71,0.660026232
499,81,0.923686977
500,91,0.281719343
501,1,0.931250448
502,11,0.456434293
503,21,0.375174195
504,31,0.877176787
505,41,0.263285961
506,51,0.921648586
507,61,0.842115907
508,71,0.478201325
509,81,0.801451913
510,91,0.976255543
511,1,0.067224882
512,11,0.045794667
513,21,0.29197741
514,31,0.393022789
515,41,0.465914921
516,51,0.458393943
517,61,0.70197598
518,71,0.546509472
519,81,0.841581457
520,91,0.842493245
521,1,0.370234302
522,11,0.340294339
523,21,0.577249928
524,31,0.579716935
525,41,0.509607213
526,51,0.975791182
527,61,0.677736985
528,71,0.97618999
529,81,0.406693211
530,91,0.355890448
531,1,0.247429327
532,11,0.380330104
533,21,0.220076135
534,31,0.696928104
535,41,0.222374765
536,51,0.513399193
537,61,0.756939646
538,71,0.302807756
539,81,0.979769987
540,91,0.023993521
541,1,0.842422557
542,11,0.999612195
543,21,0.527557933
544,31,0.659316486
545,41,0.57854911
546,51,0.619161184
547,61,0.963029108
548,71,0.182484243
549,81,0.01526149
550,91,0.641159349
551,1,0.463256697
552,11,0.904491404
553,21,0.078340393
554,31,0.822161822
555,41,0.789250352
556,51,0.923622555
557,61,0.360685758
558,71,0.317858793
559,81,0.471613731
560,91,0.92271611
561,1,0.69812983
562,11,0.501953301
563,21,0.519486384
564,31,0.535184312
565,41,0.931280969
566,51,0.766267552
567,61,0.165793749
568,71,0.863675678
569,81,0.509253763
570,91,0.046796747
571,1,0.377123846
572,11,0.312001482
573,21,0.982654147
574,31,0.811515728
575,41,0.085026766
576,51,0.819238743
577,61,0.032380208
578,71,0.866632809
579,81,0.885131819
580,91,0.775982565
581,1,0.776652983
582,11,0.816726868
583,21,0.153548067
584,31,0.813118758
585,41,0.590768083
586,51,0.258847114
587,61,0.160680344
588,71,0.957241843
589,81,0.658499595
590,91,0.181052298
591,1,0.04976827
592,11,0.345177024
593,21,0.917056931
594,31,0.486372666
595,41,0.173666402
596,51,0.217415896
597,61,0.866311042
598,71,0.688523319
599,81,0.274335595
600,91,0.235293971
601,1,0.850142621
602,11,0.532058905
603,21,0.320957036
604,31,0.382976469
605,41,0.592877422
606,51,0.732409601
607,61,0.773697627
608,71,0.252149838
609,81,0.86571146
610,91,0.956974584
611,1,0.413537203
612,11,0.241646739
613,21,0.962121648
614,31,0.76462092
615,41,0.786488212
616,51,0.378420159
617,61,0.097579738
618,71,0.513009105
619,81,0.767627272
620,91,0.909831921
621,1,0.529514563
622,11,0.373383706
623,21,0.680755325
624,31,0.519466188
625,41,0.281274082
626,51,0.978514582
627,61,0.692067611
628,71,0.400789828
629,81,0.404630777
630,91,0.742281116
631,1,0.360990238
632,11,0.403196137
633,21,0.508543269
634,31,0.648748922
635,41,0.789320265
636,51,0.298305083
637,61,0.870848883
638,71,0.914746915
639,81,0.439466816
640,91,0.29609592
641,1,0.769443444
642,11,0.411317533
643,21,0.634316264
644,31,0.790008248
645,41,0.436283544
646,51,0.656405229
647,61,0.881259557
648,71,0.614563571
649,81,0.828691523
650,91,0.227469548
651,1,0.465468477
652,11,0.137283108
653,21,0.323000178
654,31,0.738116095
655,41,0.358737376
656,51,0.429108452
657,61,0.447161437
658,71,0.527976886
659,81,0.903104858
660,91,0.676775107
661,1,0.030829419
662,11,0.950076657
663,21,0.533749498
664,31,0.28278791
665,41,0.248698174
666,51,0.266615957
667,61,0.501768197
668,71,0.204847544
669,81,0.892968928
670,91,0.153590301
671,1,0.761660516
672,11,0.311256124
673,21,0.099168652
674,31,0.555092469
675,41,0.671258039
676,51,0.362010537
677,61,0.71296159
678,71,0.321908477
679,81,0.483287548
680,91,0.868730326
681,1,0.413911951
682,11,0.147785858
683,21,0.749596412
684,31,0.671608686
685,41,0.048300247
686,51,0.629917358
687,61,0.676582996
688,71,0.366758106
689,81,0.89586252
690,91,0.468752284
691,1,0.095978641
692,11,0.185795557
693,21,0.962829634
694,31,0.08968259
695,41,0.533880069
696,51,0.457903964
697,61,0.034150513
698,71,0.176917257
699,81,0.01429861
700,91,0.277484732
701,1,0.795206432
702,11,0.632868184
703,21,0.414109931
704,31,0.439409048
705,41,0.391924053
706,51,0.502661714
707,61,0.248913507
708,71,0.175683214
709,81,0.913322704
710,91,0.216184763
711,1,0.642850414
712,11,0.314917301
713,21,0.273866492
714,31,0.958639622
715,41,0.652972601
716,51,0.685924452
717,61,0.729876418
718,71,0.412174311
719,81,0.701614174
720,91,0.828675554
721,1,0.130562934
722,11,0.124833227
723,21,0.606693495
724,31,0.651406446
725,41,0.901463809
726,51,0.651467395
727,61,0.457133527
728,71,0.605569701
729,81,0.366546099
730,91,0.356069014
731,1,0.833417125
732,11,0.907556656
733,21,0.320451896
734,31,0.999432049
735,41,0.206607035
736,51,0.946261476
737,61,0.451804149
738,71,0.78468855
739,81,0.182525706
740,91,0.309294999
741,1,0.099285674
742,11,0.550938786
743,21,0.595174209
744,31,0.78650817
745,41,0.317472223
746,51,0.525179372
747,61,0.457231292
748,71,0.624415385
749,81,0.417673509
750,91,0.088805333
751,1,0.73796975
752,11,0.649793057
753,21,0.111266814
754,31,0.138707663
755,41,0.938283837
756,51,0.530672986
757,61,0.544787022
758,71,0.566387249
759,81,0.78305789
760,91,0.80753011
761,1,0.605822886
762,11,0.027618935
763,21,0.254929947
764,31,0.357628742
765,41,0.31425499
766,51,0.509802584
767,61,0.182687974
768,71,0.883245936
769,81,0.086295653
770,91,0.452836526
771,1,0.591266189
772,11,0.109606297
773,21,0.563083356
774,31,0.198808392
775,41,0.844857224
776,51,0.179547405
777,61,0.1418124
778,71,0.639212721
779,81,0.217859333
780,91,0.552217544
781,1,0.303550083
782,11,0.850336884
783,21,0.491005902
784,31,0.054986258
785,41,0.544318302
786,51,0.240364036
787,61,0.893671629
788,71,0.864443988
789,81,0.596265569
790,91,0.831538981
791,1,0.065322211
792,11,0.731879439
793,21,0.790071953
794,31,0.850770698
795,41,0.804875557
796,51,0.107238021
797,61,0.949120476
798,71,0.274550988
799,81,0.127811274
800,91,0.813333204
801,1,0.613192631
802,11,0.334591393
803,21,0.912024314
804,31,0.712603526
805,41,0.248195888
806,51,0.313848937
807,61,0.944755593
808,71,0.477766848
809,81,0.965963968
810,91,0.64362266
811,1,0.285148845
812,11,0.06400446
813,21,0.383416336
814,31,0.560153309
815,41,0.22962538
816,51,0.318843851
817,61,0.223148378
818,71,0.924509354
819,81,0.194269747
820,91,0.23939735
821,1,0.891965334
822,11,0.343131184
823,21,0.638686731
824,31,0.492224434
825,41,0.97196327
826,51,0.927533276
827,61,0.73514749
828,71,0.850086737
829,81,0.135950679
830,91,0.430294245
831,1,0.160140924
832,11,0.634407623
833,21,0.783937306
834,31,0.161695608
835,41,0.325032833
836,51,0.471759024
837,61,0.181458252
838,71,0.585542649
839,81,0.886679158
840,91,0.367211697
841,1,0.883516504
842,11,0.418988844
843,21,0.194346345
844,31,0.252531837
845,41,0.297012848
846,51,0.022026779
847,61,0.47109888
848,71,0.689392584
849,81,0.818929417
850,91,0.841460329
851,1,0.251851467
852,11,0.049208727
853,21,0.44604338
854,31,0.314323628
855,41,0.383778608
856,51,0.504220101
857,61,0.801119513
858,71,0.94257325
859,81,0.556425855
860,91,0.894258842
861,1,0.587553188
862,11,0.700902665
863,21,0.30363834
864,31,0.823761936
865,41,0.157514311
866,51,0.231783066
867,61,0.226504248
868,71,0.095626288
869,81,0.238914348
870,91,0.817413815
871,1,0.16508483
872,11,0.991853905
873,21,0.407133191
874,31,0.752499113
875,41,0.332807673
876,51,0.224898909
877,61,0.758511049
878,71,0.437218401
879,81,0.316043528
880,91,0.078794794
881,1,0.276340318
882,11,0.025693518
883,21,0.866668481
884,31,0.586796868
885,41,0.738658345
886,51,0.081073373
887,61,0.201853795
888,71,0.589445559
889,81,0.664713854
890,91,0.620423172
891,1,0.555440911
892,11,0.859855764
893,21,0.210268584
894,31,0.141983496
895,41,0.541610077
896,51,0.068826273
897,61,0.822947295
898,71,0.620081318
899,81,0.368243498
900,91,0.499315985
901,1,0.78044014
902,11,0.184001353
903,21,0.893220058
904,31,0.747107644
905,41,0.413757914
906,51,0.707430679
907,61,0.554059753
908,71,0.924175071
909,81,0.961027135
910,91,0.56383827
911,1,0.798830698
912,11,0.657915186
913,21,0.760663299
914,31,0.599977263
915,41,0.785255458
916,51,0.357455252
917,61,0.095668693
918,71,0.810906579
919,81,0.94267507
920,91,0.070398451
921,1,0.696045663
922,11,0.705145032
923,21,0.114794549
924,31,0.281138302
925,41,0.045950243
926,51,0.051070175
927,61,0.451363378
928,71,0.63523004
929,81,0.606698138
930,91,0.129222645
931,1,0.834675958
932,11,0.037391035
933,21,0.202976475
934,31,0.581996566
935,41,0.132315889
936,51,0.10865578
937,61,0.322394442
938,71,0.721978209
939,81,0.50875993
940,91,0.90976351
941,1,0.767182296
942,11,0.408678865
943,21,0.39421469
944,31,0.643626519
945,41,0.024530713
946,51,0.616028158
947,61,0.289730182
948,71,0.26870123
949,81,0.579584467
950,91,0.528897076
951,1,0.085449027
952,11,0.357808814
953,21,0.435371547
954,31,0.877284993
955,41,0.359963569
956,51,0.818965222
957,61,0.633132042
958,71,0.528445487
959,81,0.583759709
960,91,0.117566669
961,1,0.537430908
962,11,0.496656416
963,21,0.159401669
964,31,0.974119037
965,41,0.682117721
966,51,0.398113185
967,61,0.309227949
968,71,0.600065514
969,81,0.117551775
970,91,0.441909368
971,1,0.966164698
972,11,0.991070291
973,21,0.951960148
974,31,0.261013627
975,41,0.908935423
976,51,0.406469088
977,61,0.842829703
978,71,0.276442254
979,81,0.957258216
980,91,0.537441794
981,1,0.980451661
982,11,0.131793296
983,21,0.647497356
984,31,0.37163652
985,41,0.494504339
986,51,0.560948817
987,61,0.309501379
988,71,0.347376068
989,81,0.78536334
990,91,0.427051793
991,1,0.611127468
992,11,0.583646416
993,21,0.129309222
994,31,0.162128261
995,41,0.895966868
996,51,0.575771909
997,61,0.610002735
998,71,0.750166597
999,81,0.62011577
1000,91,0.675119702
